,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
913,Sześć kobiet w śniegu (nie licząc suki),Anna Fryczkowska,Burda Książki,Kryminał,polski,"3,6","24,00",,"34,90",
914,Behawiorysta,Remigiusz Mróz,Filia,Kryminał,polski,"4,3","26,90",,"36,90",171
915,Śliski interes,Ryszard Ćwirlej,Muza,Kryminał,Milicjanci z Poznania,"4,3","31,89",,"14,90",
916,Zabij mnie znów,Rachel Abbott,Filia,Kryminał,Tom Douglas,"4,5","29,90",,"39,90",13
917,Immunitet,Remigiusz Mróz,Czwarta Strona,Kryminał,Joanna Chyłka,"4,5","29,90","37,90","36,90",191
918,Obietnica,Todd Charles,C&T,Kryminał,polski,"0,0",,,"32,00",
919,Czerwone złoto Kryminał kulinarny,Tom Hillenbrand,Smak Słowa,Kryminał,polski,"0,0",,,"34,99",
920,Sługi boże,Adam Forman,Agora,Kryminał,polski,"0,0",,,"39,99",
921,Ultimatum,Motte Anders,Czarna Owca,Kryminał,polski,"0,0",,,"39,99",
922,Człowiek honoru,Paul Vidich,Czarna Owca,Kryminał,polski,"5,0","24,99",,"29,99",
923,Wdowa,Fiona Barton,Czarna Owca,"Sensacja, thriller, horror",Kate Waters,"3,9","34,99",,"39,99",43
924,Zaginione miasto,Anna Klejzerowicz,Replika,Kryminał,polski,"0,0",,,"34,90",
925,Latający słoń Dzieci księżyca,Boris Akunin,Replika,Kryminał,polski,"0,0",,,"39,90",
926,Dziewiąty grób,Stefan Ahnhem,Marginesy,Kryminał,Fabian Risk,"4,2","31,90",,"39,90",
927,MOCK,Marek Krajewski,Znak,Kryminał,polski,"0,0",,,"36,90",
928,Element układanki,Hanna Szemar,Novae Res,Kryminał,polski,"0,0","20,00",,"24,00",
929,Diabelski owoc,Tom Hillenbrand,Smak Słowa,Kryminał,polski,"0,0",,,"34,99",
930,Szumowiny Tom 6 O komisarzu Williamie Wistingu,Horst Jorn Lier,Smak Słowa,Kryminał,polski,"0,0",,,"39,99",
931,Zmierzch nad Europą,Alan Furst,Sonia Draga,Kryminał,polski,"0,0",,,"34,90",
932,Mężczyzna w białych butach,"Ciszak Waldemar, Larek Michał",Czwarta Strona,Kryminał,polski,"0,0",,,"34,90",
933,Groby niewinnych,Peter Robinson,Sonia Draga,Kryminał,Inspektor Banks,"4,0","31,50","30,00","38,00",
934,Żywi i umarli w Winsford,Håkan Nesser,Czarna Owca,Kryminał,polski,"3,8","29,99",,"34,99",
935,Latarnik,Camilla Läckberg,Czarna Owca,Kryminał,polski,"0,0",,,"29,90",
936,Ofiara losu,Camilla Läckberg,Czarna Owca,Kryminał,polski,"0,0",,,"24,90",
937,Kamieniarz Tom 3,Camilla Läckberg,Czarna Owca,Kryminał,polski,"0,0",,,"29,90",
938,Na zachód od wolności,Thomas Engström,Sonia Draga,"Sensacja, thriller, horror",Ludwig Licht,"4,3","32,50","30,00","39,00",
